run_id,run_name,start_time,end_time,status,model,phase,params.best_clf__min_samples_split,params.eval_splits,params.test_rows,params.best_clf__min_samples_leaf,params.train_rows,params.best_clf__max_depth,params.best_clf__criterion,params.phase,params.n_features,params.fit_on,params.val_rows,params.model,params.classes,params.best_clf__subsample,params.best_clf__min_child_weight,params.best_clf__colsample_bytree,params.best_clf__reg_alpha,params.best_clf__reg_lambda,params.best_clf__learning_rate,params.best_clf__n_estimators,params.best_clf__max_features,params.best_clf__solver,params.best_clf__C,params.best_clf__penalty,params.best_clf__multi_class,params.used_SMOTE,params.clf__max_iter,params.clf__penalty,params.clf__C,params.clf__multi_class,params.clf__solver,params.best_clf__class_weight,params.clf__max_depth,params.clf__min_samples_split,params.clf__min_samples_leaf,params.clf__max_features,params.clf__n_estimators,params.clf__colsample_bytree,params.clf__learning_rate,params.clf__subsample,params.clf__criterion,metrics.test_precision_macro,metrics.test_precision_weighted,metrics.test_mean_AP,metrics.test_mean_AUC,metrics.test_f1_weighted,metrics.test_f1_macro,metrics.test_accuracy,metrics.test_recall_weighted,metrics.test_recall_macro,metrics.train_f1_weighted,metrics.train_f1_macro,metrics.val_accuracy,metrics.val_f1_macro,metrics.val_f1_weighted,metrics.train_accuracy,metrics.train_precision_weighted,metrics.val_precision_macro,metrics.val_mean_AUC,metrics.train_mean_AUC,metrics.val_recall_macro,metrics.train_recall_weighted,metrics.train_mean_AP,metrics.train_recall_macro,metrics.train_precision_macro,metrics.val_precision_weighted,metrics.val_recall_weighted,metrics.val_mean_AP,tags.eval_splits,tags.mlflow.source.type,run_name,tags.mlflow.user,phase,tags.fit_on,model,tags.mlflow.source.name,tags.task,tags.data_source,tags.period
5ddd5a0c1bc047e3b202ee608cacc854,Random Forest-final-20250825-154836,2025-08-25 15:48:36.215000+00:00,2025-08-25 15:49:04.279000+00:00,FINISHED,Random Forest,final,2,test,3140,5,7801,24,,final,11,train+val,3017,Random Forest,"Down,Sideway,Up",,,,,,,300,sqrt,,,,,,,,,,,,,,,,,,,,,0.672185693924649,0.6715988710741904,0.726708106116945,0.8324568541153362,0.561062222789798,0.5696365572522654,0.6038216560509554,0.6038216560509554,0.6088933372735706,,,,,,,,,,,,,,,,,,,test,LOCAL,Random Forest-final-20250825-154836,root,final,train+val,Random Forest,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
6b99b7794cc44b65b05325e0bd63af35,20250826-093441-final-20250826-093424-final-rf,2025-08-26 09:34:41.950000+00:00,2025-08-26 09:34:56.162000+00:00,FINISHED,20250826-093424-final-rf,final,10,test,3140,2,7801,12,,final,11,train+val,3017,20250826-093424-final-rf,"Down,Sideway,Up",,,,,,,200,sqrt,,,,,,,,,,,,,,,,,,,,,0.6684159105131834,0.667733883142036,0.7207885135455182,0.8255503834181982,0.5499280705531245,0.5586141410389872,0.5949044585987261,0.5949044585987261,0.5993757443654492,,,,,,,,,,,,,,,,,,,test,LOCAL,20250826-093441-final-20250826-093424-final-rf,root,final,train+val,20250826-093424-final-rf,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
8266cc0d7aee40829185ac9105a2be85,20250825-194132-final-20250825-194111-final-rf,2025-08-25 19:41:32.700000+00:00,2025-08-25 19:41:52.890000+00:00,FINISHED,20250825-194111-final-rf,final,10,test,3140,2,7801,12,,final,11,train+val,3017,20250825-194111-final-rf,"Down,Sideway,Up",,,,,,,200,sqrt,,,,,,,,,,,,,,,,,,,,,0.6684159105131834,0.667733883142036,0.7207885135455182,0.8255503834181982,0.5499280705531245,0.5586141410389872,0.5949044585987261,0.5949044585987261,0.5993757443654492,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-194132-final-20250825-194111-final-rf,root,final,train+val,20250825-194111-final-rf,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
13b473dbbce64b59876386e25da8daea,20250825-183110-final-20250825-183047-final-rf,2025-08-25 18:31:10.425000+00:00,2025-08-25 18:31:31.670000+00:00,FINISHED,20250825-183047-final-rf,final,10,test,3140,2,7801,12,,final,11,train+val,3017,20250825-183047-final-rf,"Down,Sideway,Up",,,,,,,200,sqrt,,,,,,,,,,,,,,,,,,,,,0.6684159105131834,0.667733883142036,0.7207885135455182,0.8255503834181982,0.5499280705531245,0.5586141410389872,0.5949044585987261,0.5949044585987261,0.5993757443654492,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-183110-final-20250825-183047-final-rf,root,final,train+val,20250825-183047-final-rf,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
ee6559c3fe674d60a7594f33515596ed,20250826-093434-final-20250826-093424-final-tree,2025-08-26 09:34:34.140000+00:00,2025-08-26 09:34:41.898000+00:00,FINISHED,20250826-093424-final-tree,final,0.01,test,3140,0.01,7801,5,gini,final,11,train+val,3017,20250826-093424-final-tree,"Down,Sideway,Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605931541965672,0.6117856013223021,0.599803645913965,0.7593384155551391,0.5395146021944203,0.5437303673410591,0.5636942675159236,0.5636942675159236,0.5724280295316672,,,,,,,,,,,,,,,,,,,test,LOCAL,20250826-093434-final-20250826-093424-final-tree,root,final,train+val,20250826-093424-final-tree,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
86ff78a9ded54ed2aa8beb78def46ec3,20250825-194122-final-20250825-194111-final-tree,2025-08-25 19:41:22.244000+00:00,2025-08-25 19:41:32.624000+00:00,FINISHED,20250825-194111-final-tree,final,0.01,test,3140,0.01,7801,5,gini,final,11,train+val,3017,20250825-194111-final-tree,"Down,Sideway,Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605931541965672,0.6117856013223021,0.599803645913965,0.7593384155551391,0.5395146021944203,0.5437303673410591,0.5636942675159236,0.5636942675159236,0.5724280295316672,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-194122-final-20250825-194111-final-tree,root,final,train+val,20250825-194111-final-tree,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
369d6678837f42079e877ccc69856fd5,20250825-183059-final-20250825-183047-final-tree,2025-08-25 18:30:59.372000+00:00,2025-08-25 18:31:10.340000+00:00,FINISHED,20250825-183047-final-tree,final,0.01,test,3140,0.01,7801,5,gini,final,11,train+val,3017,20250825-183047-final-tree,"Down,Sideway,Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605931541965672,0.6117856013223021,0.599803645913965,0.7593384155551391,0.5395146021944203,0.5437303673410591,0.5636942675159236,0.5636942675159236,0.5724280295316672,,,,,,,,,,,,,,,,,,,test,LOCAL,20250825-183059-final-20250825-183047-final-tree,root,final,train+val,20250825-183047-final-tree,/usr/local/lib/python3.12/dist-packages/colab_kernel_launcher.py,,,
57935d0bc28a434889648dfcbf0832f9,LogisticRegression,2025-08-11 10:42:11.535000+00:00,2025-08-11 10:42:20.294000+00:00,FINISHED,,,,,2764,,12279,,,,17,,2769,,"0,1,2",,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,0.5040859615045794,0.4451445382334774,0.5097684515195369,,,0.40835402053189873,0.4083540205318988,0.4633441675695197,0.36008103518036944,0.41710983573283644,0.41949670168580505,,,,,,,,,,,,,,LOCAL,LogisticRegression,root,,,,/usr/local/lib/python3.11/dist-packages/colab_kernel_launcher.py,SP500_3class_direction,YahooFinance ^GSPC,1970-02-18 to 2025-06-26
78f977e178ae47f19ccd2562f66590d7,LogisticRegression,2025-08-11 10:24:57.238000+00:00,2025-08-11 10:25:11.278000+00:00,FINISHED,,,,,2764,,12279,,,,17,,2769,,"0,1,2",,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,0.5040859615045794,0.4451445382334774,0.5097684515195369,,,0.40835402053189873,0.4083540205318988,0.4633441675695197,0.36008103518036944,0.41710983573283644,0.41949670168580505,,,,,,,,,,,,,,LOCAL,LogisticRegression,root,,,,/usr/local/lib/python3.11/dist-packages/colab_kernel_launcher.py,SP500_3class_direction,YahooFinance ^GSPC,1970-02-18 to 2025-06-26
885dbfc157ed4779a8ab9f1e76b5fda3,LogisticRegression,2025-08-10 07:00:47.190000+00:00,2025-08-10 07:01:08.231000+00:00,FINISHED,,,,,2764,,12279,,,,17,,2769,,"0,1,2",,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,0.5040859615045794,0.4451445382334774,0.5097684515195369,,,0.40835402053189873,0.4083540205318988,0.4633441675695197,0.36008103518036944,0.41710983573283644,0.41949670168580505,,,,,,,,,,,,,,LOCAL,LogisticRegression,root,,,,/usr/local/lib/python3.11/dist-packages/colab_kernel_launcher.py,SP500_3class_direction,YahooFinance ^GSPC,1970-02-18 to 2025-06-26
